| AÑO   | MES | NÚMERO CONCIERTOS |
|-------|-----|-------------------|
| 2009  | 6   | 1                 |
| 2010  | 1   | 1                 |
| 2010  | 2   | 1                 |
| 2010  | 4   | 1                 |
| 2010  | 5   | 1                 |
| 2010  | 6   | 1                 |
| 2010  | 7   | 1                 |
| 2010  | 8   | 1                 |
| 2010  | 9   | 1                 |
| 2010  | 10  | 1                 |
| 2010  | 11  | 1                 |
| 2010  | 12  | 1                 |
| 2011  | 1   | 1                 |
| 2011  | 3   | 2                 |
| 2011  | 4   | 2                 |
| 2011  | 5   | 1                 |
| 2011  | 6   | 1                 |
| 2011  | 7   | 1                 |
| 2011  | 8   | 2                 |
| 2011  | 9   | 1                 |
| 2011  | 10  | 2                 |
| 2011  | 11  | 1                 |
| 2011  | 12  | 1                 |
| 2012  | 1   | 2                 |
| 2012  | 2   | 2                 |
| 2012  | 3   | 3                 |
| 2012  | 4   | 2                 |
| 2012  | 5   | 2                 |
| 2012  | 6   | 2                 |
| 2012  | 7   | 2                 |
| 2012  | 8   | 2                 |
| 2012  | 9   | 2                 |
| 2012  | 10  | 2                 |
| 2012  | 11  | 3                 |
| 2012  | 12  | 3                 |
| 2013  | 1   | 2                 |
| 2013  | 2   | 2                 |
| 2013  | 3   | 1                 |
| 2013  | 4   | 2                 |
| 2013  | 5   | 2                 |
| 2013  | 6   | 2                 |
| 2013  | 7   | 2                 |
| 2013  | 8   | 2                 |
| 2013  | 9   | 2                 |
| 2013  | 10  | 2                 |
| 2013  | 11  | 3                 |
| 2013  | 12  | 1                 |
| 2014  | 1   | 1                 |
| 2014  | 2   | 1                 |
| 2014  | 3   | 1                 |
| 2014  | 4   | 2                 |
| 2014  | 5   | 1                 |
| 2014  | 6   | 1                 |
| 2014  | 7   | 1                 |
| 2014  | 8   | 1                 |
| 2014  | 9   | 1                 |
| 2014  | 10  | 1                 |
| 2014  | 11  | 2                 |
| 2014  | 12  | 1                 |
| 2015  | 1   | 1                 |
| 2015  | 2   | 2                 |
| 2015  | 3   | 1                 |
| 2015  | 4   | 2                 |
| 2015  | 5   | 2                 |
| 2015  | 6   | 2                 |
| 2015  | 7   | 2                 |
| 2015  | 8   | 3                 |
| 2015  | 9   | 1                 |
| 2015  | 10  | 2                 |
| 2015  | 11  | 2                 |
| 2015  | 12  | 1                 |
| 2016  | 1   | 2                 |
| 2016  | 2   | 2                 |
| 2016  | 3   | 2                 |
| 2016  | 4   | 2                 |
| 2016  | 5   | 2                 |
| 2016  | 6   | 2                 |
| 2016  | 7   | 2                 |
| 2016  | 8   | 3                 |
| 2016  | 9   | 2                 |
| 2016  | 10  | 2                 |
| 2016  | 11  | 2                 |
| 2016  | 12  | 3                 |
| 2017  | 1   | 4                 |
| 2017  | 2   | 4                 |
| 2017  | 3   | 3                 |
| 2017  | 4   | 4                 |
| 2017  | 5   | 3                 |
| 2017  | 6   | 5                 |
| 2017  | 7   | 3                 |
| 2017  | 8   | 5                 |
| 2017  | 9   | 4                 |
| 2017  | 10  | 3                 |
| 2017  | 11  | 5                 |
| 2017  | 12  | 3                 |
| 2018  | 1   | 2                 |
| 2018  | 2   | 3                 |
| 2018  | 3   | 2                 |
| 2018  | 4   | 3                 |
| 2018  | 5   | 3                 |
| 2018  | 6   | 3                 |
| 2018  | 7   | 3                 |
| 2018  | 8   | 4                 |
| 2018  | 9   | 2                 |
| 2018  | 10  | 2                 |
| 2018  | 11  | 3                 |
| 2018  | 12  | 2                 |
| 2019  | 1   | 2                 |
| 2019  | 2   | 3                 |
| 2019  | 3   | 2                 |
| 2019  | 4   | 3                 |
| 2019  | 5   | 3                 |
| 2019  | 6   | 3                 |
| 2019  | 7   | 3                 |
| 2019  | 8   | 3                 |
| 2019  | 9   | 3                 |
| 2019  | 10  | 3                 |
| 2019  | 11  | 3                 |
| 2019  | 12  | 2                 |
| 2020  | 2   | 1                 |
| 2020  | 4   | 1                 |
| 2020  | 7   | 1                 |
| 2020  | 9   | 1                 |
| 2020  | 12  | 1                 |
| 2021  | 2   | 1                 |
| 2021  | 4   | 1                 |
| 2021  | 7   | 1                 |
| 2021  | 9   | 1                 |
| 2021  | 12  | 1                 |
| 2022  | 1   | 1                 |
| 2022  | 2   | 2                 |
| 2022  | 4   | 1                 |
| 2022  | 5   | 1                 |
| 2022  | 6   | 1                 |
| 2022  | 7   | 2                 |
| 2022  | 8   | 1                 |
| 2022  | 9   | 2                 |
| 2022  | 10  | 1                 |
| 2022  | 11  | 1                 |
| 2022  | 12  | 1                 |
| 2023  | 8   | 1                 |
